Station Name,Coordinates
Astor Pl,"40.7300540002897,-73.9910699986196"
Canal St,"40.718803001077,-74.0001929992732"
50th St,"40.7617279996141,-73.9838489998662"
Bergen St,"40.6808621368295,-73.974999151168"
Pennsylvania Ave,"40.6647144514356,-73.8948859115406"
238th St,"40.8846670006497,-73.9008700001852"
Cathedral Pkwy (110th St),"40.8005815581149,-73.9580667066136"
Kingston - Throop Aves,"40.679918999416,-73.9408589987126"
65th St,"40.7497195293567,-73.8987883783301"
36th St,"40.7519600440107,-73.9290181846153"
Delancey St - Essex St,"40.7183060561861,-73.9874094020297"
Van Siclen Ave,"40.6780282144778,-73.8916577270244"
Norwood Ave,"40.6815200004568,-73.8796259991078"
104th-102nd Sts,"40.6951659982337,-73.8444350002968"
DeKalb Ave,"40.6906481199697,-73.9817709444094"
Beach 105th St,"40.5832684381028,-73.8275807503452"
Beach 90th St,"40.5880915645732,-73.8136514041963"
Freeman St,"40.8299874463841,-73.8917522534946"
Intervale Ave,"40.8221421311707,-73.8966173846164"
182nd-183rd Sts,"40.8560929988186,-73.9007409999896"
174th-175th Sts,"40.8458999998341,-73.9101360005007"
167th St,"40.8337689986279,-73.9184320008225"
Mets - Willets Point,"40.7546219988126,-73.8456249984179"
Junction Blvd,"40.7491449994883,-73.8695270010351"
Flushing - Main St,"40.7595999991501,-73.830030002625"
Buhre Ave,"40.8468099988855,-73.8325690000374"
3rd Ave - 138th St,"40.8104760011726,-73.9261380001413"
Castle Hill Ave,"40.8342549982546,-73.8512219996147"
Brooklyn Bridge - City Hall,"40.7130649994331,-74.0041310005885"
Zerega Ave,"40.8364880006081,-73.8470359987544"
Grand Central - 42nd St,"40.7518074298163,-73.9767132992584"
33rd St,"40.7460809990914,-73.9820760014894"
96th St,"40.785671999986,-73.9510700015425"
77th St,"40.7736200007461,-73.9598739988604"
Chauncey St,"40.682851300878,-73.9103835703337"
Union St,"40.6773156673509,-73.9831099990967"
Elmhurst Ave,"40.7423700797216,-73.8820347465864"
Ralph Ave,"40.6788220008733,-73.920785999333"
Pelham Pkwy,"40.8571924091606,-73.8674806785004"
Gun Hill Rd,"40.877839385172,-73.866134105387"
Nereid Ave (238 St),"40.8982865155752,-73.8543153107622"
Franklin Ave,"40.6707651534489,-73.9580997367769"
Simpson St,"40.8239768412373,-73.893066395079"
Bronx Park East,"40.8487686663389,-73.8683560917809"
Winthrop St,"40.6566593137607,-73.9500793459099"
Van Siclen Ave,"40.6655179630596,-73.889404917301"
149th St - Grand Concourse,"40.8183034437231,-73.9273847542618"
161st St - Yankee Stadium,"40.8282303274216,-73.9256919950573"
Lexington Ave - 59th St,"40.7625260003045,-73.9679670004732"
E 149th St,"40.812117998272,-73.9040979987594"
Morrison Av - Soundview,"40.8295210015674,-73.8745159992948"
Whitlock Ave,"40.826525000559,-73.8862829985325"
St Lawrence Ave,"40.8315090005233,-73.8676179992367"
Woodside - 61st St,"40.7456300011383,-73.90298400173"
Far Rockaway - Mott Ave,"40.6039950016875,-73.7554049992473"
72nd St,"40.7755193972925,-73.976336575218"
96th St,"40.7916187976701,-73.9646024568716"
168th St,"40.8407189999079,-73.9395609998542"
Kingsbridge Rd,"40.8669779999994,-73.8935090000331"
42nd St - Bryant Pk,"40.7541840013125,-73.9845909990471"
Prospect Park,"40.6616334551018,-73.962031304266"
55th St,"40.6314787609374,-73.9953488259574"
Jamaica - Van Wyck,"40.7028985528731,-73.817012871354"
Kew Gardens - Union Tpke,"40.714034819571,-73.8303702709878"
Sutphin Blvd - Archer Av,"40.700382424235,-73.8080047196383"
Court Sq - 23rd St,"40.7477681214143,-73.9460547026632"
67th Ave,"40.726505475813,-73.852860484349"
Grand Ave - Newtown,"40.7368134181971,-73.8772208566918"
Ditmas Ave,"40.6361186666629,-73.9781719996516"
Classon Ave,"40.6888890002645,-73.9599900013721"
Broadway,"40.7061265762741,-73.9503122560662"
Lorimer St,"40.7140720006471,-73.9502479999697"
Sutter Ave,"40.6691450006139,-73.9019160004208"
Wilson Ave,"40.6888665424602,-73.9039586049186"
Halsey St,"40.6864152707043,-73.9166388842194"
Lorimer St,"40.703844000042,-73.947354998842"
8th Ave,"40.6349709996471,-74.0115159977215"
36th Ave,"40.7564420005104,-73.929861999118"
Broadway,"40.7614319988005,-73.925822999199"
