,Station Name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Astor Pl,"40.7300540002897,-73.9910699986196",23,44,1,24,13,27,88,5,103,24
1,Canal St,"40.718803001077,-74.0001929992732",15,6,0,25,6,24,125,10,156,14
2,50th St,"40.7617279996141,-73.9838489998662",44,3,3,24,25,25,107,7,85,31
3,Bergen St,"40.6808621368295,-73.974999151168",3,1,0,22,13,13,25,3,45,6
4,Pennsylvania Ave,"40.6647144514356,-73.8948859115406",1,1,0,6,0,0,5,0,4,3
5,238th St,"40.8846670006497,-73.9008700001852",1,2,0,20,5,3,8,0,12,2
6,Cathedral Pkwy (110th St),"40.8005815581149,-73.9580667066136",1,3,0,8,2,10,6,19,10,2
7,Kingston - Throop Aves,"40.679918999416,-73.9408589987126",5,0,0,16,4,3,14,4,17,6
8,65th St,"40.7497195293567,-73.8987883783301",0,0,0,8,1,2,5,1,2,1
9,36th St,"40.7519600440107,-73.9290181846153",4,0,1,0,0,1,16,0,10,4
10,Delancey St - Essex St,"40.7183060561861,-73.9874094020297",21,3,1,26,24,13,50,5,95,11
11,Van Siclen Ave,"40.6780282144778,-73.8916577270244",0,0,0,4,0,0,1,0,4,2
12,Norwood Ave,"40.6815200004568,-73.8796259991078",0,1,0,8,3,1,2,0,11,1
13,104th-102nd Sts,"40.6951659982337,-73.8444350002968",0,0,0,6,1,2,9,0,11,1
14,DeKalb Ave,"40.6906481199697,-73.9817709444094",5,32,0,51,6,9,37,5,55,7
15,Beach 105th St,"40.5832684381028,-73.8275807503452",0,0,0,0,0,1,3,0,5,1
16,Beach 90th St,"40.5880915645732,-73.8136514041963",1,0,0,7,4,1,7,0,19,2
17,Freeman St,"40.8299874463841,-73.8917522534946",2,1,0,6,0,0,4,2,8,3
18,Intervale Ave,"40.8221421311707,-73.8966173846164",0,1,0,7,1,1,14,0,8,4
19,182nd-183rd Sts,"40.8560929988186,-73.9007409999896",1,2,0,8,0,3,9,1,10,3
20,174th-175th Sts,"40.8458999998341,-73.9101360005007",0,1,0,1,0,0,13,2,9,4
21,167th St,"40.8337689986279,-73.9184320008225",4,3,0,7,1,1,8,3,6,2
22,Mets - Willets Point,"40.7546219988126,-73.8456249984179",2,0,0,4,2,3,3,0,7,4
23,Junction Blvd,"40.7491449994883,-73.8695270010351",0,2,0,27,4,2,15,0,36,4
24,Flushing - Main St,"40.7595999991501,-73.830030002625",4,4,2,56,11,5,136,0,146,24
25,Buhre Ave,"40.8468099988855,-73.8325690000374",1,0,0,26,4,4,8,2,19,3
26,3rd Ave - 138th St,"40.8104760011726,-73.9261380001413",4,1,0,8,4,0,12,1,10,4
27,Castle Hill Ave,"40.8342549982546,-73.8512219996147",1,0,0,19,2,3,4,1,27,2
28,Brooklyn Bridge - City Hall,"40.7130649994331,-74.0041310005885",4,12,0,10,4,15,77,2,29,7
29,Zerega Ave,"40.8364880006081,-73.8470359987544",0,1,0,5,1,0,6,1,4,1
30,Grand Central - 42nd St,"40.7518074298163,-73.9767132992584",5,11,4,25,15,20,139,4,181,68
31,33rd St,"40.7460809990914,-73.9820760014894",4,13,3,26,8,31,134,9,149,22
32,96th St,"40.785671999986,-73.9510700015425",3,3,0,13,3,16,35,7,32,12
33,77th St,"40.7736200007461,-73.9598739988604",8,2,0,19,1,3,144,2,75,6
34,Chauncey St,"40.682851300878,-73.9103835703337",1,1,0,12,0,4,6,1,12,4
35,Union St,"40.6773156673509,-73.9831099990967",3,0,0,18,8,8,26,3,19,5
36,Elmhurst Ave,"40.7423700797216,-73.8820347465864",0,0,0,30,3,6,8,5,27,4
37,Ralph Ave,"40.6788220008733,-73.920785999333",1,3,0,2,0,1,11,0,8,1
38,Pelham Pkwy,"40.8571924091606,-73.8674806785004",1,3,0,14,1,2,11,1,36,5
39,Gun Hill Rd,"40.877839385172,-73.866134105387",0,0,0,7,0,3,5,1,11,5
40,Nereid Ave (238 St),"40.8982865155752,-73.8543153107622",1,0,0,13,3,0,5,0,19,4
41,Franklin Ave,"40.6707651534489,-73.9580997367769",1,2,0,23,7,1,8,10,18,3
42,Simpson St,"40.8239768412373,-73.893066395079",1,0,0,8,2,2,10,0,33,5
43,Bronx Park East,"40.8487686663389,-73.8683560917809",1,2,0,3,1,2,4,1,11,4
44,Winthrop St,"40.6566593137607,-73.9500793459099",0,1,0,12,0,1,28,2,12,2
45,Van Siclen Ave,"40.6655179630596,-73.889404917301",1,0,0,2,0,0,0,0,1,3
46,149th St - Grand Concourse,"40.8183034437231,-73.9273847542618",4,7,0,9,4,3,7,1,12,4
47,161st St - Yankee Stadium,"40.8282303274216,-73.9256919950573",3,1,0,40,23,18,17,0,38,4
48,Lexington Ave - 59th St,"40.7625260003045,-73.9679670004732",5,3,0,26,7,25,142,3,147,19
49,E 149th St,"40.812117998272,-73.9040979987594",0,0,0,12,1,1,5,0,10,2
